,Name,Message,Party_Affiliation
238,Jay Farrell,"[nan, ""You folks know that antifa dot com  goes to Joe Biden's website right? It's disgusting. your going to vote for that pedophile anyway."", nan, 'Veteran voting for Trump.', nan, ""Are they any good for starting campfires? If so I'll take a dozen."", nan, 'Like I said before, all nine of you have a great time.', nan, 'I sincerely hope all nine of you have a good Gathering.', nan, ""Sununu has vetoed those bills because he's sick and tired of Democrats trying to fuck over the citizens of New Hampshire. \n\nDemocrats don't give a rat's ass about the people of New Hampshire. All Democrats care about are illegal aliens.. baby killers ..BLM and antifa."", nan, ""Not sure what ammosexual is, does that mean you're gay? Perhaps you'd like the opportunity to say that shit to my face."", nan, ""Another useless comment with no attempt up back up the claims that are being made.\n\nIf you're going to take the time to make a post, actually say something that's worth reading."", nan, 'You must be related to Joe Biden. Neither one of you fucking idiots can put a sentence together', nan, ""No, I don't think I'll look it up because it cannot be found. It never existed and you're a fucking liar."", nan, "" Wheres the screen capture of this so-called post. Otherwise I don't believe you."", nan, ""Access to voting is not at stake. It's pretty simple, get up off your ass go to the polls and vote."", nan, ""Trump's kid did not make  millions of dollars from the Chinese, but Bidens kid did.\nfuck Joe Biden and the horse he rode in on the rest of u Democratic humps"", nan, 'Just shows how stupidly ignorant you are.', nan, ""I'm not interested in having a president who is in China's pocket. Trump 2020"", nan, ""And I won't support some lame duck piece of shit Democrat."", nan, ""I won't support a fucking carpetbagger either."", nan, 'The only thing Joe Biden will give to this country is the end of times.', nan, 'make me...lmao', nan, 'Not knowing the truth about Joe Biden makes you ignorant. Not wanting to know the truth about Joe Biden makes you a Democrat.', nan, "" Biden doesn't give a rat's ass about the military or our veterans. And if you think he does, you're a fucking idiot."", nan, ""That's the legislators job not some hired committee that's not accountable to the people. Fucking Democrats""]",0
239,Jennifer Catherine Mackey Connolly,"['Malcolm Hope no this is not fake news.  Do your research but do not count on Fox News.  If you have pre-existing conditions, those will no longer be insured by SOME insurance companies.  So check it out.  This and Roe vs. Wade is why the push for the new supreme justice’s appointment is so crucial for now!']",1
240,Jeremy Ebare,['Trump 2020'],0
241,Jeremy Martin,"[""Shove 'em up your ass!""]",0
242,Jerry Galbraith,['Trump 2020.'],0
243,Jerry Rich,"['Vote him out', 'Vote him out', nan, 'https://www.etsy.com/listing/832726724/fuck-trump-handmade-accordion-mask?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=fuck+trump+mask&ref=sr_gallery-1-5&frs=1', 'Brenda Fifield Or from Russia', 'Johnny Green Very doutful, he will probably drop dead before that to many burgers', 'Johnny Green Trumps a joke and know nothing about running the country and has now fired everyone he had that did now only a group of yes men idiots.', 'Dump trump 2020', 'Biden 2020', 'Brenda Fifield Its ok if it was only you that died but when you are killing others it time for a change', 'Riché Colcombe That was done because he knew if he allowed these taxes he would be voted out.', 'Raymond Buckley Figured that', 'Denis Saucier or isnt.', 'Riché Colcombe Brining ther virus back to parent or grand parents and killing them what the hell they were old anyway.', 'Samuel Philbrick Maybe calling it a hoax, saying it would go away in a few weeks, telling everyone not to wear a mask and doing nothing for 4-6 weeks til this had spread beyond stopping it and now he is not helping with mask and saying things are getting better when they are not, for a start.', 'Samuel Philbrick Ha ha ha that is funny', 'Vote him out']",1
244,Jessica Labelle,['Trump 2020'],0
245,Jim Faucher,['The extreme agenda being pushed is the Democratic agenda not President Trump’s or Governor Sununu’s. If you can’t see it you’re completely out of touch in your reasoning and logic.🇺🇸🇺🇸Trump “2020”🇺🇸'],0
246,Jim Smith,"['I will never vote for ANY democrat again. The party  of rioters and handouts! Sununu  has  done a great job and president Trump a fantastic job!!!\n', 'I’m a school bus driver  on  a border town of  Massachusetts and  the  union hired school  busses and school bus  drivers to  assist in  voter fraud!!\n', 'The  big problem  is our democratic senators and  representatives!  You people support the ant police movement and  support “Black  Lives Matter” which is  a violent racist  group!  So good  luck I will be voting all republican the  rest  of  my  life!!!!!\n']",0
247,Jirina Rockwood Riley,['Trump 2020'],0
248,Jo-Ann Ackerson,"['You have my vote', 'Governor doing a great job and Trump 2020', 'Sununu has my vote ']",0
249,Joan Garland,"[""I just wish that people would get their facts straight before they start bashing another because they don't agree with what they say .WE are never going to heal our country with bandaids. as long as we fight each other. WE need to put the yolk on and pull in the same direction ,Hate will never win."", ""Sue Donovan  I didn't bad mouth you. can't you afford me the same  respect.? we are on opposite sides of the fence. We need to remember that we each have a right to our own opinion and I'm sure yours are just embedder in your mind as I in mine. I say let the best man win and hold our head up high even if our man loses ,there is no need for name calling ."", ""Learn to live within your mean's. We don't always have to have the best of everything to be happy. "", 'Thank you God for sane people.', ""Richard Honer I for one agree .pull with him We Can do this but you have to be willing to work with him.stop being so bull headed.People are doing the same thing to him as they are President Trump We are all in this together where your sense of unity?I'll never live long enough to understand some people.and this goes for both those who are educated as well as  the uneducated. When will you ever learn I pray that it happens before our country isdestroyed."", ""There are some so blind they will not see. I have been taught to always give a man his due and both of these men have been fighting for the little guy right a long ,It sadden me to say that there are some Americans so embedded with the democratic  party  they would rather die then admit they are wrong. I pray their children and grandchildren won't be paying the price of life for their stubborn idea. "", ""To all you folk who are complaining about min wage . My children all started their life's work at mim wage .everyone one of them worked hard and now have their own homes and doesn't need to relies on the government for assistance This is America. If you don't make it your not really trying.. "", ""I'm sorry you feel that way I personally think he has done a good job . and will vote him back in.""]",0
250,John Crane,"['Richard Bartlett NH has a chance to rid us of a far worse virus, ALL DEMOCRATS', ""Jean Durgin oh so you want broad based taxes? Figures a democrat never met a tax they didn't like"", 'Jeff McLaird  actually I do not know it to be true and I have been to 2 Trump rallies. I do know , however that the avowed racist at Charlottesville has endorsed Biden', 'Cheryl Guinto from 6 years ago. Woul you like Biden quotes from then?', 'Carlos Leduc you are so delusional. President Trump is working to lower prescription costs. You mean Biden', ""Carol Robbins interesting, I have voted for both parties through the years, but I will NEVER, EVER again vote for any democrat for any position. I am a senior citizen so I don't know how long I have left. My only hope is that after I go I am not signed up as a democrat"", 'Denise Marie oh so you want sales and income taxes', 'Maryann Bettilyon yes necessary abortions should be covered but many things that should be are.Used as birth control abortion is not necessary', nan, 'Elizabeth Crocker Moseley  bullshit, Gov Northam of VA supports murder of newborns', 'Pam Michael please the prime function of planned parenthood is abortion.Birth control.is inexpensive by it yourself without forcing others to violate their ethics', ""Heather Bateman what I said are  facts, DNC Chairman Perez? said there is no place in the democratic party for anyone pro life. Gov Northam of VA ( also a doctor) thinks infants can be killed in the first several days, that'surder. I sleep well with a clear conscience do you?"", 'Sheryl Jendrock Bernie Sanders said it right out in the open SINGLE PAYER Medicare for all', 'Jeff McLaird dispute what I said, you know it is true', 'Cheryl Guinto false but all democratic roads lead to:\nRiots\nCommunism\nMonster 44\nChina\n Of course roads to Putin was proven false\nIran nuclear weapons\nDestruction of Israel', 'Liz Calder so you want an income and sales tax?', 'Trump, Trump, Trump, Trump', ""Cheryl Guinto actually kids in cages was Obama and it's more than pro birth , it's pro no murder as demanded by democrats"", 'Jeff McLaird your neo Nazis comment make 0 sense. The left is the Nazi leaning group, and also the Jew haters, blame others for your faults, typical', 'Trump, Trump, Trump, Trump, Trump', 'Jeff McLaird you and your party are the fascists, denying the first and second amendment, your disdain of Jews quit trying to reflect otherwise', 'Sheryl Jendrock if you are worried about taxes never come blue, guaranteed to go up drastically', 'Jeff McLaird deny, deflect, and defend what? The gibberish you are spewing?', 'Bobbie Thomas interesting that your taxes went up and my refund quadrupled, unless you are rich you need to recheck your math', 'Jeff McLaird I have no idea what you are trying to say other than more left wing BS. ', ""Sheryl Jendrock the problem with universal health care in other developed nation's is rationing. Sure you are covered but if you are old or want to see a doctor soon or have a serious ailment tough luck you must wait and wait until it is too late. We saw this in the VA system, I am not sure if it is totally fixed but definitely improved. I totally agree with you on term limits and Congressional pay and benefits, and of course democrats all crying for a raise . Let me tell you something about medicare for all ( the love of Harris and Sanders). A few years agoy wife was hospitalized for 6 days with a life threatening illness. The hospital bill came to about 70K. Medicare pays 80% leaving me with about 14,000 unpaid, disastrous to be sure. But I have a supplemental insurance plan ( not allowed under medicare for all) . My supplement kicked in and my final bill was 0. In case you hadn't noticed President Trump is bringing back manufacturing jobs that the democrats had allowed to go overseas due to high taxes and regulations . There is no reason someone should be stuck in a minimum wage job. America has opportunity. A college degree is not really a necessity and I am afraid that through enormous cost increases and socialist teaching nothing is gained."", 'Sheryl Jendrock where to start, birth control is not the expensive, cost is minimal. Yes insurance can be costly and really finding a solution evades us. It was not Obamacare, I had a friend that had to buy health insurance after he lost his wife. It turned out that very expensive Cobra was cheaper for him than Obamacare.. The minimum wage was not made to be a living wage, it was made for teenagers and people just starting out, presuming that as we gain experience and knowledge our prospects will improve.. The democrats hoax of a tax cut for the rich is just that, a hoax. I have been retired for about 5 years on a modest fixed income. I initially saw nothing with the tax cut but after   it took effect my income tax return increased 4x what it had been the previous years. The Republicans are striving to keep the family units together. ', 'Stephanie Loupee I am not forcing my beliefs on anyone I am staying my opinions which I know the left does not like me to do. Actually no do wish I had the resources to help but I  retired and . unable. As to.wraring my mask yes I do, but not like Biden wants. Do you wear yours always when outside. Biden is a moron, unless on a crowd you do not need a mask outside. I see people wearing them to drive, ridiculous', 'Sheryl Jendrock First of all I  not against abortion in all cases, but not as birth control. Republicans don\'t refuse to support newborns. What constitutes decent schools? Baltimore receives one of the largest amounts of money in the US but they fail at almost everything,oney is not the answer. Starting with Lyndon Johnson\'s "" great society"" was an attempt to destroy families and depend on government handouts, causing broken homes with little chance for success', 'Aurielle J. Nazro I believe the murder of a child is more like a stone age act', 'Kathy Wyatt I got a vasectomy 30 years ago aftery 3 wonderful children were born, not murdered', 'Aurielle J. Nazro at anytime for any reason? You must love the newborn murder idea. You are disgusting', 'Yes all of you want abortion at any time for any reason, and murder of newborns. Nice people, demoncrats', ""Vote Red, America's only hope"", 'Karen Braz truth hurts?', ""James Mason I  a senior citizen, the governors of NY, NJ, and PA were responsible for soany death's, Democrats, the party of death. Abortion at any time for any reason. Murder of newborns.durong first week\n Murder of seniors. Vote Red"", 'Judi Riley enjoy Venezuela', 'Karen Braz Obama already.did that', 'Vote Red', 'And he vetoed a sales tax. A democrat would not. Vote Red in November for everything']",0
251,John Hebert,"['Trump 2020 🇺🇸🇺🇸🇺🇸🇺🇸😃', 'Trump2020🇺🇸🇺🇸🇺🇸🇺🇸😃', 'Trump 2020🇺🇸🇺🇸🇺🇸🇺🇸😃']",0
252,John Soper,"['Get it locally at town level.  We need to put cameras in the class rooms to what the teachers and how they are teaching, and what they are teaching.', 'Your party is disgusting Trump 2020', '👹 your party is the 😈, so hateful, just go out and roit, Trump 2020', 'Trump 2020']",0
253,John Sylvester,"['TRUMP 2020! 💪💪🇺🇸🇺🇸🖕🖕', 'Janet Singer  Cool story. And Why did you decide to willfully abandon your country ? ']",0
254,Johnny Utah,"[""John Maurice that's strange, because they were bussed to nashua. illegal? definitely out of state."", 'Trump 2020 all you massholes go home!']",0
255,Jon Pef,"['Janet Singer \nFrances Beebe Peffer\nNo problem your vote won’t be missed since several a Demorats have left you & joined us good guys, the Republicans.\n', 'Jesse Ross \nFrances Beebe Peffer\nYou have the wrong President.  It was your buddy Obama for the Internment camps.  As far as 20 sexual assaults including 2 children & ties to Epstein you are as bad as a Your Fake News you love.  \n', nan, 'Lisa Labrie \nFrances Beebe Peffer\nOhhh so now this page is Demorat only.  Well when fake news is being applied, it’s time to jump on the Demorat’s  ass “God bless America”.🇺🇸🇺🇸\n', 'Frances Beebe Peffer\nGo man go,  New Hampshire needs you.  We the people of New Hampshire need you.  We pay absolutely no attention to what the Demorats say. “God Bless America”.🇺🇸🇺🇸\n', 'Frances Beebe Peffer\nBe careful what you say here Laurel Dean.  Fake News rarely posts anything in favor of our President.\n', nan, 'Laurel Dean \nFrances Beebe Peffer\nOur President Trump works his ass off for we the people.  Receives no pay check, donates it to charity.  For the love of “God”, please allow him the opportunity to relieve stress by playing Golf.  Your one nut case for listening to “Fake News”.  Your buddy Obama went right out & played golf following the death of one of our valued citizens by ISIS.  “God Bless America”.🇺🇸🇺🇸. \n', 'Jared Parr \nFrances Beebe Peffer\nPlease note my statement above re. Liberal gun control meeting, angry New Hampshire citizen. \n', 'Frances Beebe Peffer\nNot too long ago a New Hampshire gentleman was close to foaming at the mouth because Magie Hassan & Jean Shaheen scheduled a gun control meeting without posting long enough meeting time.  He was furious & complained saying these Two will not quit until they start a a Civil War.  It was posted here on Facebook for all to see.  Our elected officials should be for the people & not a a Liberals choice.  “God Bless America”.🇺🇸🇺🇸\n', 'Frances Beebe Peffer\nAnyone can smell a Demorat miles away., even worse than a skunk.']",0
256,Jorge Lopez Carrasco,['Fake news!!!TRUMP 2020 ALL THE WAY!!!!!🇺🇸🇺🇸🇺🇸👍👍👍👍🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸'],0
257,Josephine Fields,['Trump 2020 '],0
258,Josh Campbell,"[nan, 'Oh shut the fuck up. Democrats are the problem. \nTrump 2020\n🇺🇸']",0
259,Joshua Estes,['Trump 2020'],0
260,June Ellen,"['TRUMP 2020!!!!!!', 'Kids need to go to school!!! These pathetic democrats are useless and good for nothing!!!!']",0
261,Karen Soohoo,"['Kelly Hamer As an official natural born Karen. We do not claim her as our own. Natural Karens prefer real names to be placed on these people. I for the record may not have picked Biden, but at this point if a potato was running against Trump as the nominee I would vote potato all day long.']",1
262,Karl McCormack,"['People should get into politics. They get paid to run their mouths.', 'Joe Robbins good for him the majority is now communist democrats he has the upper hand he is a American ', 'Kind of hard a spike in liberal communist socialists democrats in NH', 'Mitt Romney is a shadow communist Owned By communist Soros ', 'Molli Mckeen why would you know who’s going to jail are you friends with some of the communist judges that Barry Sorreto appointed', 'Tom Anderson because Barry Sorreto was there only to destroy America ', 'That’s the right choice he is for America not a socialist. Communist or the old party that was the democrat party ', 'He should he is not a socialist communist democrat ', 'Tim Marston ', 'Stephen Lucey what did he rocket man ', 'Jim Burnham better send to a school that teaches Chinese. The schools today only teach socialism ', 'Tim Marston you got that right communist supporters of the old democrat party that are supporting the Soros communist party with the help of a past Kenyan President . For the new world order. Trump 2020 Donald jr 2024 ', 'Diane Allen Schlott then move to Kenya ', 'Face book goons are changing the posts', 'Face book goons are changing the words ', 'Liz Calder try Nigeria king they pay better than Macdonalds', 'Look at the news you ignorant fools Trump 2020 Donald jr 2024', 'Dave McCarthy I live in NH it’s becoming socialist state like VT . Trump 2020 Donald jr 2024', 'Vote for an American vote red', nan, 'Walter Vanderpool wait the best is yet to come the Durham report of all the people lower than whale shit in the old democrat party that is now the communist party ', 'Post the article ', 'Sununu is a American not a democrat', 'Well deserved raise to have to put up with a brainless bunch of goons in the democrat communist party with out al bit of common sense ', 'Democrats put them selves first in screwing the public to enrich them selves ', 'Walter Vanderpool did you ever watch the news about the coke head son of a Vice President getting money from the Chinese communist party and the Ukraine with threats from the vice president', 'Marilyn Pettigrew like communist better than the American party ', 'Vote red all the way get rid of the communist party ', 'You go to the polls and vote with proper ID . Sounds safe to me and the only safe way.', 'Liz Calder McDonald’s Walmart target subway Burger King and the likes are not career jobs that pay big money ', 'Darren Phaneuf some people will vote for a communist leader.not me Trump 2020 .', 'Darren Phaneuf Trump 2020 instead of the communist party . Like the treasonous Obama administration ', 'Some people would rather have a communist government than pay their fair share.', 'Darren Phaneuf so be it . Still will be better than living a communist socialist life.', 'Darren Phaneuf apparently you don’t understand any thing about social security we paid for that .I guess it is going to be the new normal . I still think people that support socialism communism . Do not care about future generations.', 'You mean the party that use to be democrats.It is now called something else ', 'Look at comrade Biden sucking up to China.Its amazing to me how any one with a small portion of a brain does not see how the old democrat is broken to the point of wanting a one world order.And give up their freedom to live in a third would country.', 'Jim Burnham  If people keep voting in democrats you better enjoy your communist liberal socialist life ', 'Molli Mckeen so you haven’t looked at the treasonous Obama administration. They were the filthiest people on earth ', 'Marilyn Pettigrew voting for the communist democrat party ', 'Marilyn Pettigrew vote communist if that’s your choice of government ', 'Rita Morel for what ', 'Betty Ryan must be a cellar dweller', 'Diane Allen Schlott another  one that hates American values ', 'Liz Calder why be cause he stands for American values instead of the communist democrat party ', 'Jim Burnham loser ', nan, 'Get your ass off the couch and get a job ', 'Patricia LaGasse-Kraft work two or three jobs. If you are not lazy ', 'Plenty of work out there if you want to get ahead ', 'People don’t pay taxes in your town. Sounds like a bunch of democrats run the town probably misused the money for the other crap']",0
263,Kathy Krugar,"['Aw, yes, and I use it all the time, but it would not have expressed my true reaction to this. Thank you.', 'You would have to shoot me in the head before I would put one of these signs out.']",0
264,Kathy LaPointe,"[""All you Demorats complaining about Governor Sununu what have you personally done to change things in this state. I'm quite sure you have done nothing but complain ."", ""Rita Morel You have more to worry about than giving people raises if we go socialism you won't have to worry about a raise because there will not be any jobs.. "", 'Please Governor Sununu open our state now.. Our children are already paying the price for the shut down, some schools are not opening and this will be devastating to the children who look forward to seeing their friends and teachers.', 'Americans vote for President Trump  because he is the only one fighting for us and if he should loose our freedom will be gone.', 'Ken Soucy Good to see that someone on this platform has some  intelligence because most of the do nothing dems have no idea how a business is successful. If they want a increase in wages get a better job and do something good for their community. ', 'Andi Anderson You are one of the reasons this state has so many drug addiction issues because you people sure do know how to destroy  a persons self worth with your garage that comes out of your mouth. Hate will never get you anywhere.....']",0
265,Katie Mcwherter,"[nan, ""Jon Adams My president is a  brilliant GENIUS .He is trying to take over the world. \nHe allegedly tryed killing all Americans-with covid .\nHE'S a ALLEGED Russian asset. \nHE'S a freaking GENIUS to get away with all these allegations for 4 years,with nothing ,absolutely nothing.no charges but your dumb fucking opinion.Vote for a GENIUS vote Trump."", 'Get the f over it.You have a mental disorder.obsessed with Trump. Get a freaking life.', 'Real women for Trump', nan, ""Carl Daniels  failure? Cuomo killed thousands.There is a chain of command in the USA. If  president Trump went in , told everyine..no..no mandated is the liberals word for taking your freedom..You'd still bitch. Get your Kleenex ready because you're about to be disappointed again."", 'Trump2020\nlive free or die', ""Cheryl Guinto .you'd believe anything the fake news tells you. Dumbasses "", 'Cheryl Guinto all answer lay in fixing everything democrsts screwed up.Youve become used  to it.', ""Fred DeCicco NAZI'S DIDN'T kill anyone either.Pos"", ""Fred DeCicco NAZI'S DIDN'T kill anyone either.Pos"", 'Cuomo let NY""ers die.Blood on his hands.', ""Cheryl Guinto You're mistaken.Kamala and your party wants this. They didn't believe the Nazi's either and look what happened.Youre a POS.SURRENDER your rights f@cktard."", ""Bob Hill gone up because of obozocare.Because you all wanted ppl and didn't fight against it.Now you're paying for this so called free insurance.idiots"", 'If the government takes over your healthcare... You\'re surrendering your freedom to the government. Theyll determine if your life is worth saving.THEY\'LL mandate all doctors preform abortions.abortions on demand..that\'s up too 9 months.And and infanticide murdering a baby after a botched abortion.(MURDERING A BABY)\nOf your 80. and get sick they\'ll let you die Bloomsburg stated "" you\'ve lived a good life so your lives not worth investing in"" \n1964 YouTube Ronald Reagan watch out surrendering your freedom ..its easy to surrender your freedom than fight for it.\nYOU\'LL BE SORRY.\nBTW. Obama care has-a deductable of $6000.00.so free.premiums for private insurance have went up because of obozo-care..i don\'t think so.', 'Trump2020', 'How can you be \nlive free or die.\nand vote Democrat']",0
266,Keith Bastek,"["".... so you're voting for people who hurt others willingly. 🙄 #TDS"", '#Fillthatseat #Obamagate ', '#fillthatseat #obamagate ', '#FillThatSeat @ObamaGate @IndictPelosi ', ""#defundplannedparenthood -- THOUSANDS of babies are 'inconvenient' and easily killed every day in the USA......   SELLING BABY PARTS was not challenged by Democrat President Obama because THERE'S MONEY BEING MADE OF BABY PARTS.  It's not about women's reproductive rights at all.  MONEY "", '#Trump2020 ', ""Affordable Care Plan AKA Obamacare has been a FLOP 10 years now.  'you can keep your doctor' -- yea .... the only one's it's helped is the insurance and pharma companies.  "", ""Pence is such a productive man - he's been a great VP.  They BOTH have my vote! "", 'Lucky you, someone near is in thier right mind! ', ""Put them signs up to PROVE you're dumb and gullible! ""]",0
267,Keith LeBeau,['biden harass'],0
268,Kelley Eaton,"[nan, 'Rita Collier fuck no', 'Nan Zellers go back where you. Came from.', 'Elaine Dunn so do I ', 'Elaine Dunn TRUMP 2020 AND BEYOND!!', 'Elaine Dunn the occupant in the White House is your President and will be for four more years, Have some respect. ', ""Adrienne Spear go back too where you came from, if you don't like our Governor ""]",0
269,Kelly Murray Parrington,"[nan, 'Vote red, what’s wrong with you people ']",0
270,Ken Keefe Jr,"['He is a great govenor what a horrible attack on him, very evil.  Wish all the massholes that relocated to our state would go back to where they came from. Trump 2020']",0
271,Kenneth Mannion,"[nan, 'Libtard site go fuck urself democrats.  Trump 2020']",0
272,Kenny Russell,"[""This is why Facebook sucks. I didn't solicit anything from the left wing socialist Democratic Party but here it is on my Facebook feed. Get rid of the Political BS so we are not forced to hear, read or see any of the fake rhetoric being spread by a segment of this country I have no desire to listen to.  \n\nOh ya one more thing.  Can anyone let us know where we can get our hair blown out and not be a setup. 😂😂🤣🤣😜😛. And you're the party of truth and integrity.  Ya right.\n\nVote Trump 2020""]",0
273,Kevin D Marshall Sr.,"['Jo Strohbehn lol more liberal brainwashing ', 'SUNUNU  TRUMP 2020\nDOWN WITH THE CROOKED DEMOCRATIC PARTY', 'TRUMP SUNUNU 2020 AND BEYOND\nSCREW THE CROOKED DEMOCRACTS']",0
274,Kevin Kim,"['Douglas Dupuis  Is that too steep of a price to pay for your country? Ask not what your country can do for you, but what you can do for your country.', 'Brenda Young-Fouts  You are brave for doing that. I am sure the major cities in the state largely support the Democratic Party. Seems to be a largely urban/rural divide.', 'Anton Pugachevsky  It probably does not cause an individual who has already made up their mind to change their support. But, you can’t discount the psychological impact of seeing several signs for the same candidate in a particular area. It gives a (not necessarily accurate) picture of the level of support a candidate or party has in an area.', 'Carly Andrews  I think at all levels, local, state, and federal, the spending can only inevitably increase because the costs for programs and services (including essential ones) continue to go up with inflation. The best that can happen is reallocation of existing funds.', 'Kelly Hamer  Depends on what parts of the state though. Major cities are more likely to be Democrat while rural areas are likely to be Republican.']",1
275,Kimberly Renfrew Gebbie,"['If nasty it takes, then nasty it be! Fight FIRE with OXYGEN SUCKING FOAM!', ""Come on, Jeanne Shaheen! Tell everyone what schmuck is running against you! Don't try to be so proper and lady like!"", ""The governor has done an excellent job during our COVID-19 shutdown. I appreciate his willingness to go a little off plan (from the Republicans) to save our state from spreading the virus (though now is NOT the time to ease up and he's letting our success go to his head). But he's still a douche and the son of a douche. ""]",1
276,Kitty Cummings,['We can help as well. Shared. '],1
277,Lance Cormier,['Kevin Mccauley I’m tired of all this winning. Anyone but Trump 2020. Save America 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸'],0
278,Lannie Noyes Crowley,"['Never liked him even before hearing about this. ', 'He needs to go!!']",1
279,Lanny Tracker,"[""Laurel Dean,when are you people going to wake up? Biden is just a puppet! No one controls President Trump and that's what scares you democrats to death. GOD BLESS AMERICA AND PRESIDENT TRUMP!!!! A real man that truly loves America and its people.."", 'Lies Lies Lies, you Dems will believe anything. If Pulaski told you to jump off a high building, you would do it.']",0
280,Larry Norton,"['Trump 2020', 'Yes vote Democrat and watch as our state burns to the ground.']",0
281,Laura Wexler,"[""Anton Pugachevsky It's in the spirit of election time!"", 'I need 10 of those.u neighbor across the street just put up ten and I just have one!', 'Paul Noyes what are you on this site for...oh, I get it...just to be a troll\n']",1
282,Linda Devost,"['Please call me.', 'Were can l get a sign 881_4142', 'I would  like to know where to pick  one up.']",1
283,Linda Mikol,"[""Goffstown USED to be a #45 town but not th is year...just drive Elm St and Mast Rd....he's out number ed by Biden signs....thank God!"", ""Suzanne Mckinnon ....obviously you haven't traveled very far....Biden signs outnumber Trump 8 to 2 in my area and also in Dunbarton!""]",1
284,Linda Pry West,"['Pam Michael I will gladly live in a outhouse!', 'Paul Gajewski you too', 'Paul Gajewski I love hell', 'Paul Gajewski Good luck, be ready for 4 more years, Trump 2020.']",0
285,Linda Scott,"['VOTE BIDEN IN NOVEMBER 💙💙💙💙💙💙💙💙💙💙', 'VOTE BIDEN IN NOVEMBER 💙💙💙💙💙💙💙💙💙💙 AND VOTE ALL REPUBLICAN SENATORS OUT IN NOVEMBER 💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙', 'VOTE BIDEN IN NOVEMBER 💙💙💙💙💙💙💙💙💙💙', 'You have a great day ☀️', 'VOTE BIDEN IN NOVEMBER 💙💙💙💙💙💙💙💙💙💙', 'VOTE BIDEN IN NOVEMBER AND SHE IS HISTORY ....NON QUALIFIED IN EVERY WAY , JUST LIKE THE PERSON WHO GAVE HER THAT POSITION !!! VOTE BIDEN IN NOVEMBER 💙💙💙💙💙💙💙💙💙💙', 'VOTE BIDEN IN NOVEMBER 💙💙💙💙💙💙💙💙💙💙 VOTE !!!! ', 'VOTE BIDEN IN NOVEMBER 💙💙💙💙💙💙💙💙💙💙', 'VOTE BIDEN IN NOVEMBER 💙💙💙💙💙💙💙💙💙💙']",1
286,Lisa Swanson Beaupre,"['I call BS!!!  Governor Sununu cares about the Granite Staters, and is a wonderful governor, as President Trump is a great president, that loves and stands up FOR the American People!']",0
287,Liza Urena,"[nan, 'God Almighty Bless President Trump  And Governor Sununu 2020']",0
288,Lois Armstrong,['I do not believe one\nThing that comes from the leftist Democrats who want to destroy our\nPRESIDENT TRUMP.'],0
289,Lynne Scherrer Beaton,['Vote red TRUMP 2020'],0
290,M.j. Melendy,"['No thanks...', 'Trump 2020!']",0
291,Malcolm Hope,"['Jennifer Catherine Mackey Connolly It is. If you are so sure, post a link.', 'More fake news.', ""Phil Crumrine We don't need a law, we need the market to set the wages. "", 'Why does anyone want to hear from this has been?', ""After Joe's speech yesterday, there is no way he can lose. What an orator. "", 'If you want Mass. politics, move back  there.', ""They don't have to worry about this at a democrat event."", 'Why do High School kids need a raise?  Most place pay more than min wage.']",0
